,Knowledge representation and reasoning_CAI_01,Automated planning and scheduling_CAI_02,Machine learning_CAI_03,Natural language processing_CAI_04,Machine perception_CAI_05,Computer vision_CAI_06,Speech recognition_CAI_07,Robotics_CAI_08,Affective computing_CAI_09,Deep learning_CAI_10,Information retrieval_CAI_11,Computer science_CAI_12,Data mining_CAI_14,Commonsense knowledge_CAI_15,Intelligent agent_CAI_16,Master_Similarity
653,0.29,0.49,0.33,0.36,0.51,0.49,0.37,1.00,0.41,0.32,0.22,0.34,0.21,0.10,0.37,0.85
259,0.46,0.82,0.44,0.41,0.69,0.69,1.00,0.65,0.48,0.42,0.75,0.10,0.34,0.22,0.33,0.85
258,0.67,0.67,0.33,0.20,0.29,0.38,0.45,1.00,0.38,0.38,0.43,0.62,0.22,0.10,0.57,0.85
257,0.70,0.78,0.50,0.10,0.27,0.45,0.68,1.00,0.22,0.19,0.25,0.48,0.31,0.10,0.67,0.85
250,0.28,0.48,0.41,0.27,0.60,0.39,0.28,1.00,0.47,0.34,0.17,0.23,0.10,0.23,0.47,0.85
2739,0.34,0.37,0.67,0.65,0.57,1.00,0.87,0.13,0.58,0.38,0.41,0.11,0.51,0.10,0.22,0.85
687,0.35,0.60,0.54,0.45,0.65,0.62,0.64,1.00,0.60,0.63,0.33,0.10,0.51,0.29,0.13,0.85
408,0.51,0.11,0.66,0.41,0.47,0.47,0.41,0.49,0.62,0.20,0.73,1.00,0.55,0.10,0.27,0.85
2110,0.46,0.25,0.54,0.44,0.25,0.32,0.25,0.43,0.49,0.25,0.37,1.00,0.41,0.10,0.31,0.85
133,0.82,0.54,0.65,0.41,0.82,1.00,0.71,0.49,0.52,0.72,0.12,0.92,0.20,0.10,0.31,0.85
2240,0.45,0.32,0.55,0.69,0.35,0.10,0.65,0.25,1.00,0.27,0.32,0.18,0.17,0.64,0.61,0.85
2938,0.67,0.39,0.44,0.29,0.56,0.53,0.71,0.62,0.65,0.52,0.25,1.00,0.33,0.10,0.28,0.85
2550,0.40,1.00,0.33,0.42,0.47,0.55,0.62,0.94,0.88,0.71,0.10,0.19,0.29,0.37,0.48,0.85
2827,0.24,0.42,0.35,0.34,0.53,0.50,0.43,1.00,0.43,0.46,0.48,0.22,0.38,0.10,0.32,0.85
679,0.75,0.60,0.91,0.93,1.00,0.16,0.28,0.10,0.92,0.75,0.61,0.19,0.51,0.93,0.42,0.85
2921,0.60,0.28,0.53,0.25,0.15,0.22,0.96,0.21,1.00,0.10,0.68,0.14,0.64,0.32,0.46,0.85
111,0.37,0.46,0.38,0.27,0.38,0.34,0.20,1.00,0.34,0.33,0.18,0.21,0.15,0.10,0.46,0.85
417,0.39,0.47,0.37,0.37,0.59,0.44,0.29,1.00,0.37,0.27,0.27,0.27,0.10,0.33,0.59,0.85
2556,0.39,0.35,0.46,0.61,0.32,0.39,0.34,0.39,0.63,0.30,0.37,1.00,0.42,0.10,0.30,0.85
176,0.44,0.56,0.32,0.56,0.22,0.10,0.29,0.11,0.51,0.41,0.33,0.14,0.21,0.53,1.00,0.85
695,0.30,0.24,0.46,0.55,0.77,0.55,0.54,1.00,0.56,0.50,0.49,0.50,0.31,0.10,0.32,0.85
124,0.32,0.61,0.47,0.69,0.26,0.52,1.00,0.45,0.74,0.10,0.78,0.89,0.51,0.21,0.73,0.85
173,0.57,0.76,0.10,0.37,0.34,0.29,0.31,0.54,0.31,0.38,0.43,0.31,0.23,0.29,1.00,0.85
172,0.32,0.36,0.58,0.39,0.47,0.52,0.39,0.30,0.44,1.00,0.20,0.49,0.18,0.10,0.26,0.85
203,0.60,0.12,0.38,0.17,0.55,0.60,0.22,0.10,0.51,0.27,1.00,0.20,0.57,0.18,0.44,0.84
384,1.00,1.00,0.34,0.79,0.19,0.19,0.77,0.26,0.43,0.18,0.79,0.54,0.82,0.10,0.86,0.84
1602,0.56,0.39,0.43,0.33,0.10,0.17,1.00,0.29,0.29,0.30,0.43,0.19,0.29,0.19,0.67,0.84
2370,0.55,0.30,0.71,1.00,0.71,0.91,0.68,0.16,0.73,0.59,0.65,0.10,0.50,0.70,0.28,0.84
1599,0.27,0.30,0.88,0.85,0.10,0.45,0.31,0.60,0.49,0.98,0.41,0.72,1.00,0.19,0.42,0.84
1124,0.92,0.79,0.53,0.29,0.34,0.10,0.23,0.17,0.16,0.36,0.92,0.27,1.00,0.38,0.95,0.84
1587,0.59,0.57,0.65,0.34,0.21,0.40,0.48,0.10,0.60,0.28,0.18,1.00,0.43,0.33,0.26,0.84
182,0.42,0.66,0.10,0.32,0.28,0.27,0.29,0.50,0.22,0.37,0.30,0.27,0.21,0.15,1.00,0.84
2380,0.37,0.18,0.43,0.38,0.88,0.78,0.51,0.89,0.48,1.00,0.50,0.34,0.35,0.10,0.44,0.84
171,0.28,1.00,0.38,0.53,0.16,0.10,0.60,0.46,0.45,0.39,0.44,0.36,0.34,0.15,0.47,0.84
2755,0.46,0.23,0.61,1.00,0.47,0.41,0.64,0.10,0.46,0.45,0.45,0.23,0.43,0.36,0.30,0.84
2585,0.38,0.99,0.33,0.41,0.49,0.55,0.64,0.97,1.00,0.73,0.10,0.20,0.26,0.38,0.47,0.84
2671,0.21,0.31,0.89,0.98,0.52,0.10,0.52,0.94,0.61,0.70,0.70,1.00,0.34,0.36,0.74,0.84
1163,1.00,0.65,0.64,0.99,0.42,0.13,0.72,0.41,0.58,0.31,0.66,0.24,0.10,0.71,0.84,0.84
3100,0.68,0.44,0.53,1.00,0.51,0.35,1.00,0.33,0.72,0.44,0.71,0.10,0.38,0.68,0.56,0.84
2362,0.47,0.10,0.63,0.58,0.41,0.29,0.32,0.57,0.38,0.36,0.23,1.00,0.49,0.38,0.45,0.84
2616,0.13,0.17,0.57,0.36,0.72,0.41,0.31,1.00,0.40,0.49,0.14,0.20,0.29,0.10,0.36,0.84
2651,0.30,0.97,0.39,0.38,0.59,0.48,0.74,1.00,0.50,0.27,0.43,0.10,0.25,0.45,0.59,0.84
1066,0.77,0.39,0.43,0.31,0.56,0.83,0.96,0.55,0.48,0.68,1.00,0.51,0.85,0.10,0.25,0.84
362,0.39,0.52,0.30,0.16,0.49,0.43,0.27,1.00,0.38,0.32,0.23,0.34,0.10,0.16,0.51,0.84
1841,0.55,1.00,0.36,0.14,0.10,0.10,0.48,0.53,0.33,0.11,0.48,0.15,0.41,0.13,0.58,0.84
1616,0.15,0.12,0.86,0.26,0.76,1.00,0.19,0.74,0.54,0.65,0.23,0.59,0.17,0.10,0.35,0.84
1961,0.81,0.57,0.41,0.58,0.12,0.16,1.00,0.42,0.47,0.10,0.56,0.11,0.79,0.42,0.86,0.84
1442,1.00,0.97,0.37,0.70,0.10,0.66,0.72,0.65,0.68,0.45,0.84,0.72,0.57,0.67,0.59,0.84
809,0.42,0.29,0.55,0.36,0.73,0.92,0.70,1.00,0.71,0.71,0.60,0.10,0.25,0.11,0.25,0.84
1835,0.10,0.16,0.84,0.26,0.77,1.00,0.30,0.47,0.71,0.87,0.16,0.44,0.43,0.15,0.17,0.84
3368,0.10,0.13,0.61,0.43,0.68,1.00,0.31,0.61,0.61,0.71,0.30,0.55,0.47,0.15,0.27,0.84
813,0.58,0.53,0.28,0.19,0.74,0.68,0.28,1.00,0.55,0.41,0.34,0.10,0.19,0.34,0.46,0.84
3308,0.54,0.41,0.54,0.76,0.56,0.84,0.41,0.80,0.67,0.10,1.00,0.69,0.67,0.41,0.27,0.84
3327,0.14,0.10,0.90,0.22,0.78,1.00,0.22,0.75,0.57,0.68,0.20,0.57,0.18,0.11,0.36,0.84
3203,0.75,0.10,0.68,0.71,0.44,0.32,0.33,0.40,0.64,0.22,0.64,1.00,0.30,0.12,0.38,0.84
1264,0.59,0.38,0.23,0.79,0.48,0.10,0.53,0.61,0.76,0.66,0.58,0.98,0.25,0.19,1.00,0.84
3125,0.47,0.25,0.43,0.75,0.61,0.31,0.36,0.38,1.00,0.22,0.61,0.14,0.10,0.62,0.50,0.84
3384,0.66,1.00,0.20,0.10,0.47,0.72,0.33,0.93,0.32,0.24,0.51,0.53,0.46,0.28,0.70,0.84
3123,0.84,0.88,0.31,0.56,0.15,0.40,1.00,0.29,0.82,0.10,0.99,0.39,0.48,0.52,0.93,0.84
2045,0.36,0.43,0.64,0.87,0.62,0.13,0.12,1.00,0.43,0.51,0.10,0.62,0.27,0.29,0.71,0.84
3176,0.49,0.36,0.62,0.82,0.51,0.23,1.00,0.38,0.65,0.51,0.25,0.10,0.13,0.59,0.64,0.84
1965,0.56,0.49,0.49,0.21,0.37,0.10,0.14,1.00,0.23,0.46,0.40,0.33,0.59,0.71,0.94,0.84
1419,0.82,0.67,0.39,0.10,0.35,0.50,0.31,1.00,0.33,0.34,0.44,0.79,0.21,0.13,0.62,0.84
1962,0.42,0.66,0.10,0.31,0.28,0.26,0.29,0.50,0.22,0.37,0.30,0.28,0.21,0.14,1.00,0.84
1301,0.66,0.63,0.27,0.16,0.72,1.00,0.85,0.58,0.35,0.23,1.00,0.77,0.53,0.10,0.76,0.84
2062,0.77,0.67,0.77,0.79,0.30,0.26,0.37,0.45,0.44,0.94,0.30,1.00,0.10,0.15,0.60,0.84
3298,0.52,0.32,0.67,0.87,0.51,0.19,1.00,0.36,0.68,0.53,0.22,0.10,0.12,0.59,0.67,0.84
1244,1.00,0.47,0.41,0.53,0.64,0.70,0.65,0.53,0.88,0.31,0.84,1.00,0.10,0.70,0.69,0.84
3120,1.00,0.48,0.42,0.42,0.25,0.36,0.32,0.10,0.37,0.28,0.67,0.42,0.67,0.83,0.79,0.84
1382,0.41,0.34,0.64,0.16,0.22,0.41,0.11,0.19,0.38,0.26,0.10,1.00,0.42,0.16,0.41,0.84
2693,0.24,0.39,0.34,0.33,0.68,1.00,0.43,0.58,0.51,0.51,0.45,0.10,0.30,0.20,0.31,0.84
1848,0.62,0.10,0.53,0.11,0.40,0.28,0.20,0.12,0.52,0.23,0.91,0.51,1.00,0.13,0.44,0.84
2695,0.45,0.68,0.14,0.10,0.32,0.41,0.35,0.44,0.22,0.17,0.61,0.13,0.42,0.24,1.00,0.84
2920,0.43,0.21,0.61,0.66,0.33,0.22,0.10,0.39,0.39,0.51,0.41,1.00,0.54,0.49,0.59,0.84
457,0.85,0.62,0.66,0.41,0.79,1.00,0.79,0.55,0.54,0.74,0.23,1.00,0.20,0.10,0.25,0.84
3070,0.48,0.71,0.20,0.25,0.11,0.40,0.69,0.26,1.00,0.37,0.51,0.10,0.39,0.18,0.38,0.84
3082,0.36,0.58,0.60,0.52,0.36,0.74,0.76,0.18,0.43,0.20,0.57,1.00,0.55,0.10,0.31,0.84
984,0.52,0.86,0.43,0.24,0.52,0.74,1.00,0.77,0.64,0.10,0.76,0.10,0.46,0.26,0.30,0.84
1764,0.29,0.43,0.44,0.46,0.58,0.36,0.50,1.00,0.40,0.59,0.30,0.47,0.50,0.10,0.19,0.84
1204,0.35,0.10,0.84,0.93,0.58,0.18,1.00,0.55,0.86,0.54,0.29,0.54,0.19,0.51,0.61,0.84
709,0.45,0.23,0.70,1.00,0.41,0.45,0.67,0.10,0.76,0.53,0.78,0.40,0.69,0.44,0.19,0.84
1930,0.46,0.36,0.48,0.13,0.82,1.00,0.30,0.42,0.47,0.63,0.33,0.31,0.10,0.16,0.30,0.84
1912,0.36,0.57,0.71,0.88,0.22,0.10,0.49,0.51,0.31,0.52,0.59,0.81,1.00,0.63,0.80,0.84
880,0.20,0.25,0.44,0.31,0.75,1.00,0.41,0.53,0.58,0.46,0.32,0.42,0.37,0.10,0.17,0.84
2504,0.71,0.23,0.66,0.91,0.57,0.38,1.00,0.10,0.66,0.41,0.69,0.15,0.35,0.58,0.50,0.84
2937,0.50,0.57,0.51,0.44,0.39,0.95,1.00,0.10,0.65,0.50,0.77,0.64,0.70,0.18,0.27,0.84
519,0.40,0.54,0.37,0.13,0.59,0.64,0.26,1.00,0.37,0.42,0.10,0.20,0.14,0.19,0.47,0.84
2179,0.41,0.24,0.55,0.56,0.60,0.55,0.27,0.64,0.45,0.65,0.10,1.00,0.33,0.23,0.43,0.84
2326,0.38,0.44,0.30,0.23,0.53,0.45,0.36,1.00,0.37,0.18,0.42,0.47,0.21,0.10,0.45,0.84
1010,0.73,0.54,0.10,0.48,0.55,0.47,0.47,0.94,0.47,0.68,0.55,0.29,0.24,0.56,1.00,0.84
2166,1.00,0.67,0.30,0.10,0.35,0.30,0.52,0.33,0.70,0.18,0.70,0.40,0.36,0.29,0.28,0.84
514,0.59,0.51,0.25,0.10,0.66,0.74,0.47,1.00,0.47,0.47,0.28,0.40,0.14,0.10,0.51,0.84
515,0.48,0.80,0.30,0.27,0.55,0.75,0.39,1.00,0.38,0.47,0.32,0.33,0.10,0.23,0.58,0.84
2696,1.00,0.40,0.42,0.42,0.34,0.40,0.41,0.10,0.44,0.26,0.73,0.36,0.70,0.82,0.70,0.84
4,0.37,0.39,0.52,0.20,0.85,1.00,0.40,0.77,0.60,0.71,0.14,0.27,0.10,0.25,0.39,0.84
102,0.79,0.52,0.34,0.30,0.85,0.87,0.85,0.92,0.58,0.92,0.14,1.00,0.21,0.10,0.79,0.84
2539,0.51,0.61,0.42,0.26,0.44,0.46,0.91,0.10,1.00,0.19,0.52,0.36,0.57,0.46,0.18,0.84
2892,0.52,0.45,0.60,0.22,0.23,0.58,0.21,0.10,0.33,0.53,0.20,1.00,0.37,0.17,0.42,0.84
654,0.59,0.60,0.44,0.66,0.68,0.52,0.10,0.48,0.37,0.58,0.34,1.00,0.15,0.28,0.56,0.84
2403,0.38,0.44,0.52,0.26,1.00,0.91,0.36,0.60,0.49,0.73,0.14,0.17,0.10,0.33,0.41,0.84
2717,0.82,0.46,0.31,0.33,0.67,0.52,0.44,1.00,0.37,0.32,0.40,0.27,0.10,0.54,0.71,0.84
2720,0.43,0.10,0.90,0.72,0.32,0.31,0.43,0.18,0.68,0.55,0.74,1.00,0.93,0.31,0.28,0.84
2345,1.00,0.45,0.65,0.59,0.10,0.13,0.42,0.24,0.24,0.24,0.49,0.55,0.67,0.24,0.30,0.84
1859,0.17,0.34,0.38,0.44,0.65,0.52,0.63,1.00,0.74,0.50,0.43,0.22,0.33,0.10,0.23,0.84
918,0.90,0.81,0.45,0.22,0.82,1.00,0.77,0.48,0.92,0.10,0.83,0.48,0.24,0.40,0.28,0.84
2749,0.15,0.18,0.51,0.20,0.37,0.31,0.72,0.46,1.00,0.28,0.13,0.10,0.17,0.15,0.32,0.84
2703,0.96,0.68,0.45,0.30,0.37,0.54,0.35,0.10,0.30,0.26,0.75,0.29,1.00,0.78,0.79,0.84
2727,0.46,0.44,0.57,0.65,0.52,0.44,0.10,0.63,0.35,0.67,0.23,1.00,0.38,0.29,0.42,0.84
652,0.62,0.16,0.49,0.17,0.51,0.49,0.66,0.17,0.86,0.24,0.76,1.00,0.48,0.10,0.36,0.84
2561,0.24,0.10,0.90,0.58,0.28,0.33,0.20,0.20,0.53,0.34,0.42,0.71,1.00,0.24,0.22,0.84
3004,0.42,0.24,1.00,1.00,0.53,0.52,0.10,0.22,0.58,0.86,0.67,0.79,0.80,0.18,0.16,0.84
125,0.70,0.44,0.79,1.00,0.46,0.16,0.85,0.12,0.52,0.25,0.36,0.14,0.10,0.32,0.60,0.84
1209,0.14,0.27,0.61,0.22,0.92,1.00,0.23,0.44,0.68,0.62,0.21,0.16,0.10,0.20,0.43,0.84
42,0.54,0.11,0.34,0.48,1.00,0.82,0.39,0.69,0.67,0.65,0.66,0.19,0.27,0.10,0.32,0.84
1933,0.41,0.22,0.49,0.10,0.73,1.00,0.28,0.46,0.45,0.41,0.33,0.27,0.29,0.17,0.15,0.84
36,0.30,0.13,1.00,0.32,0.22,0.34,0.29,0.23,0.55,0.36,0.30,0.78,0.88,0.24,0.10,0.84
3447,0.19,0.44,0.70,0.63,0.43,0.30,0.86,0.16,1.00,0.22,0.84,0.10,0.55,0.68,0.46,0.84
53,1.00,0.48,0.38,0.48,0.51,0.49,0.56,0.68,0.10,0.56,0.71,0.47,0.40,0.71,0.98,0.84
2521,0.51,0.68,0.64,0.87,0.21,0.57,0.54,0.61,0.14,0.55,0.59,1.00,0.65,0.10,0.46,0.83
3035,0.19,0.63,0.14,0.33,0.18,0.37,0.14,1.00,0.54,0.33,0.46,0.32,0.49,0.10,0.83,0.83
723,0.91,0.12,0.78,0.28,0.50,0.30,0.42,0.54,0.44,0.10,1.00,0.54,0.64,0.39,0.19,0.83
1445,1.00,0.10,0.16,0.55,0.37,0.61,0.61,0.68,0.49,0.55,0.10,0.64,0.43,0.38,0.91,0.83
1956,0.10,0.72,0.41,0.48,0.17,0.41,0.53,0.33,0.54,0.59,0.44,1.00,0.68,0.25,0.46,0.83
2583,0.51,0.38,0.51,0.59,0.46,0.40,0.13,0.61,0.45,0.78,0.23,1.00,0.10,0.39,0.71,0.83
2549,0.89,0.59,0.55,0.68,0.36,0.31,0.76,0.31,0.72,0.10,1.00,0.17,0.91,0.95,0.52,0.83
3417,0.41,0.73,0.28,0.44,0.10,0.37,0.27,0.66,0.52,0.36,0.72,1.00,0.49,0.34,1.00,0.83
3290,0.61,0.37,0.35,0.65,0.50,0.32,1.00,0.37,0.83,0.45,0.36,0.13,0.10,0.60,0.59,0.83
2031,0.40,0.59,0.33,0.21,0.50,0.48,0.40,0.81,0.10,0.44,1.00,0.47,0.79,0.11,0.58,0.83
1007,0.49,0.72,0.33,0.33,0.62,0.75,0.45,1.00,0.26,0.35,0.40,0.10,0.16,0.30,0.49,0.83
3057,0.25,0.10,0.52,0.33,0.73,1.00,0.58,0.47,0.57,0.65,0.52,0.10,0.30,0.13,0.20,0.83
3034,0.32,0.47,0.55,0.82,0.35,0.29,0.51,1.00,0.46,0.54,0.14,0.43,0.27,0.10,0.34,0.83
28,0.45,0.10,0.28,0.42,1.00,0.56,0.68,0.62,0.60,0.88,0.79,0.49,0.38,0.21,0.50,0.83
281,0.81,0.21,0.56,0.20,0.61,0.55,0.38,0.56,0.42,0.10,1.00,0.58,0.34,0.26,0.25,0.83
2567,0.32,0.54,0.33,0.16,0.52,0.46,0.19,1.00,0.30,0.37,0.15,0.16,0.10,0.16,0.54,0.83
735,1.00,0.68,0.49,0.49,0.13,0.18,0.45,0.10,0.44,0.26,0.84,0.58,0.43,0.40,0.47,0.83
1752,0.85,0.53,0.57,1.00,0.41,0.30,0.62,0.10,0.45,0.32,0.38,0.19,0.21,0.54,0.46,0.83
392,0.88,0.63,0.65,0.60,0.43,0.45,0.79,0.98,0.42,0.10,0.41,1.00,0.22,0.10,0.44,0.83
284,0.30,0.58,0.33,0.37,0.74,0.58,0.44,0.88,0.37,1.00,0.23,0.13,0.36,0.10,0.46,0.83
2097,0.62,0.24,0.39,0.23,1.00,0.94,0.59,0.67,0.57,0.97,0.30,0.47,0.55,0.10,0.17,0.83
2471,0.58,0.25,0.63,0.51,0.15,0.39,0.66,0.38,0.45,0.40,0.92,1.00,0.94,0.10,0.37,0.83
2127,0.40,0.70,0.15,0.34,0.51,0.60,0.53,1.00,0.40,0.57,0.56,0.44,0.24,0.10,0.49,0.83
2965,0.37,0.37,0.40,0.66,0.31,0.36,1.00,0.26,0.56,0.24,0.53,0.10,0.32,0.43,0.50,0.83
1397,0.57,0.25,0.59,1.00,0.45,0.31,0.72,0.18,0.53,0.48,0.46,0.10,0.18,0.57,0.54,0.83
1514,0.26,0.88,0.34,0.13,0.82,0.49,0.21,1.00,0.10,0.51,0.52,0.21,0.52,0.17,0.74,0.83
2185,1.00,0.49,0.31,0.16,0.18,0.34,0.53,0.44,0.54,0.10,0.72,0.84,0.42,0.13,0.52,0.83
852,0.35,0.51,0.27,0.20,0.45,0.50,0.29,1.00,0.28,0.38,0.16,0.33,0.25,0.10,0.48,0.83
356,0.12,0.12,0.86,0.20,0.78,1.00,0.26,0.54,0.72,0.94,0.22,0.39,0.42,0.10,0.18,0.83
3092,0.89,0.59,0.55,0.68,0.36,0.31,0.76,0.31,0.72,0.10,1.00,0.17,0.91,0.95,0.52,0.83
969,0.42,0.14,0.27,0.25,0.45,0.42,1.00,0.40,0.87,0.13,0.88,0.10,0.59,0.22,0.66,0.83
2421,0.77,0.67,0.35,0.10,0.34,0.48,0.31,1.00,0.32,0.29,0.45,0.73,0.20,0.11,0.59,0.83
2486,0.19,0.42,0.41,0.33,0.68,0.59,0.81,1.00,0.46,0.16,0.10,0.21,0.21,0.33,0.69,0.83
963,0.29,0.21,0.53,0.52,0.67,0.96,0.46,0.79,0.71,1.00,0.42,0.66,0.33,0.10,0.27,0.83
499,0.26,0.49,0.29,0.42,0.55,0.37,0.33,1.00,0.37,0.33,0.30,0.10,0.42,0.31,0.34,0.83
2382,0.48,0.33,0.56,0.54,0.52,0.20,1.00,0.25,0.63,0.39,0.20,0.10,0.11,0.53,0.46,0.83
3396,0.95,0.43,0.32,0.42,1.00,0.76,0.41,0.73,0.58,0.96,0.20,0.86,0.10,0.25,0.63,0.83
1739,0.45,0.69,0.12,0.27,0.55,0.77,0.48,0.70,0.44,0.21,1.00,0.10,0.29,0.11,0.87,0.83
2494,0.52,0.53,0.63,0.87,0.35,0.37,0.10,1.00,0.41,0.73,0.37,0.89,0.40,0.24,0.48,0.83
3003,0.92,0.61,0.41,0.79,0.60,0.62,0.17,0.49,0.50,1.00,0.44,0.84,0.10,0.59,0.74,0.83
1810,0.38,1.00,0.43,0.24,0.15,0.16,0.23,0.23,0.48,0.18,0.95,0.53,0.65,0.10,0.58,0.83
1947,1.00,0.10,0.74,0.42,0.83,0.49,0.96,0.68,0.87,0.93,0.16,0.83,0.25,0.17,0.22,0.83
2514,0.11,0.21,0.63,0.39,0.61,1.00,0.42,0.66,0.68,0.79,0.40,0.36,0.29,0.10,0.12,0.83
3323,0.54,0.67,0.63,0.80,0.62,1.00,0.74,0.99,0.39,0.75,0.88,0.81,0.53,0.10,0.21,0.83
1727,0.45,0.59,0.18,0.77,0.49,0.56,0.10,0.47,0.28,0.22,0.44,0.26,0.54,0.61,1.00,0.83
1726,0.46,0.45,0.33,0.57,0.42,0.35,1.00,0.48,0.52,0.34,0.61,0.10,0.23,0.38,0.41,0.83
481,0.70,0.47,0.54,0.24,0.30,0.42,0.33,0.41,0.27,0.37,1.00,0.74,0.78,0.10,0.26,0.83
361,0.55,0.33,0.60,1.00,0.38,0.20,0.94,0.29,0.50,0.43,0.33,0.10,0.47,0.51,0.47,0.83
958,1.00,0.48,0.15,0.49,0.10,0.35,0.86,0.19,0.79,0.38,0.98,0.24,0.90,0.14,0.80,0.83
2986,0.30,0.32,0.56,0.19,0.95,1.00,0.43,0.59,0.70,0.73,0.18,0.14,0.10,0.32,0.33,0.83
3076,0.28,0.46,0.28,0.41,0.56,0.39,0.36,1.00,0.37,0.36,0.33,0.10,0.40,0.33,0.35,0.83
1828,0.34,0.30,0.69,0.52,0.29,0.38,0.37,0.10,0.44,0.44,0.48,1.00,0.68,0.40,0.29,0.83
1435,0.21,0.37,0.44,0.18,0.61,1.00,0.18,0.54,0.26,0.48,0.38,0.15,0.39,0.10,0.29,0.83
2495,0.49,0.72,0.37,0.58,0.58,0.69,0.10,0.66,0.31,0.44,1.00,0.54,0.29,0.12,0.44,0.83
2441,0.94,0.47,0.45,0.39,0.15,0.17,0.30,0.10,0.28,0.35,0.45,0.15,0.61,0.75,1.00,0.83
43,0.77,0.27,0.38,0.30,0.30,0.46,0.45,0.23,0.51,0.23,1.00,0.20,0.53,0.10,0.20,0.83
40,0.16,0.59,0.47,0.28,0.54,1.00,0.18,0.61,0.49,0.56,0.32,0.63,0.10,0.19,0.39,0.83
3450,0.10,0.26,0.61,0.55,0.36,0.36,0.36,0.31,0.34,0.36,0.19,1.00,0.50,0.29,0.50,0.83
3062,0.29,0.41,0.34,0.35,0.43,0.33,0.36,1.00,0.54,0.12,0.22,0.54,0.10,0.19,0.52,0.83
3233,0.89,0.59,0.55,0.68,0.36,0.31,0.76,0.31,0.72,0.10,1.00,0.17,0.91,0.95,0.52,0.83
1818,0.37,0.61,0.27,0.30,0.48,0.47,0.27,1.00,0.38,0.31,0.22,0.43,0.10,0.28,0.48,0.83
282,0.41,1.00,0.17,0.30,0.41,0.39,0.37,0.84,0.26,0.25,0.31,0.16,0.32,0.10,0.66,0.83
304,0.55,0.31,0.10,0.59,0.48,0.67,0.31,0.11,0.18,0.28,0.44,0.32,0.62,0.21,1.00,0.83
2959,0.25,0.10,0.85,0.59,0.42,0.29,0.10,0.33,0.43,0.61,0.16,1.00,0.65,0.29,0.42,0.83
2339,0.53,0.49,0.57,0.21,0.20,0.68,0.31,0.10,0.34,0.20,0.25,1.00,0.34,0.17,0.43,0.83
936,0.20,0.10,0.40,0.33,0.47,0.44,0.77,0.61,1.00,0.10,0.56,0.16,0.30,0.20,0.35,0.83
2342,0.63,0.79,0.19,0.25,0.85,1.00,0.83,0.93,0.75,0.40,0.60,0.37,0.10,0.22,0.52,0.83
2963,0.10,0.15,0.66,0.46,0.54,0.39,0.16,1.00,0.24,0.28,0.17,0.63,0.42,0.40,0.92,0.83
1963,0.91,0.50,0.53,0.75,0.30,0.33,0.61,0.39,0.47,0.10,1.00,0.52,0.55,0.61,0.45,0.83
1043,0.47,1.00,0.34,0.11,0.17,0.27,0.40,0.24,0.17,0.28,0.54,0.38,0.57,0.10,0.43,0.83
1583,1.00,0.12,0.52,0.53,0.21,0.14,0.18,0.44,0.18,0.32,0.44,0.54,0.32,0.10,0.49,0.83
1467,0.50,0.68,0.54,0.28,0.20,0.56,0.23,0.10,0.48,0.17,0.42,1.00,0.36,0.27,0.31,0.83
1712,0.51,0.55,0.44,0.63,0.22,0.10,0.36,0.20,0.26,0.71,0.15,0.18,0.33,0.63,1.00,0.83
77,0.39,0.17,0.67,0.66,0.22,0.42,0.10,0.20,0.46,0.29,0.52,1.00,0.59,0.26,0.41,0.83
1598,0.43,0.65,0.34,0.21,0.71,1.00,0.51,0.87,0.48,0.46,0.32,0.34,0.11,0.10,0.36,0.83
3336,0.23,0.55,0.12,0.49,0.38,0.41,0.49,1.00,0.63,0.15,0.36,0.53,0.40,0.10,0.66,0.83
1070,0.32,0.59,0.23,0.28,0.52,0.50,0.29,1.00,0.33,0.42,0.24,0.33,0.15,0.10,0.50,0.83
166,1.00,0.59,0.15,0.50,0.69,0.61,0.57,0.93,0.63,0.63,0.24,0.82,0.10,0.11,0.67,0.83
3152,0.89,0.59,0.55,0.68,0.36,0.31,0.76,0.31,0.72,0.10,1.00,0.17,0.91,0.95,0.52,0.83
2090,0.18,0.29,0.32,0.32,0.24,0.27,0.64,0.34,1.00,0.30,0.19,0.10,0.14,0.19,0.32,0.83
874,0.53,0.70,0.32,0.21,0.27,0.72,0.58,0.95,0.49,0.38,0.51,1.00,0.29,0.10,0.57,0.83
1678,0.44,0.29,0.16,0.24,0.33,0.15,0.39,0.80,0.47,0.10,0.12,0.42,0.20,0.17,1.00,0.83
1485,0.46,0.27,0.55,1.00,0.36,0.23,0.48,0.10,0.49,0.33,0.50,0.31,0.39,0.60,0.42,0.83
1277,0.76,0.21,0.48,0.12,0.44,0.58,0.61,0.40,0.26,0.10,1.00,0.77,0.46,0.14,0.55,0.83
1974,0.35,0.95,0.40,0.48,0.37,0.31,0.55,0.43,0.23,0.18,0.57,0.24,1.00,0.10,0.30,0.83
3140,0.46,1.00,0.10,0.24,0.48,0.56,0.64,0.75,0.25,0.34,0.80,0.36,0.48,0.13,0.91,0.83
185,0.96,1.00,0.48,0.22,0.12,0.52,0.80,0.27,0.27,0.46,0.85,0.38,0.74,0.10,0.44,0.83
2939,0.48,0.27,0.81,1.00,0.34,0.16,0.26,0.10,0.34,0.68,0.17,0.66,0.38,0.48,0.60,0.83
